#EH #EH #EH #EH #EH #EH SU1 #EH #EH #EH #EH #EH SU1 #EH #EH #EH #EH
#EH MD2 MD2 MD2 MD2 MD2 SU1 MD2 MD2 MD2 MD2 MD2 SU1 MD2 MD2 MD2 #EH
#EH SX2 S-- S-- S-- S-- SU1 S-- MD2 MD2 S-- S-- SU1 S-- S-- MD2 #EH
#EH SX1 S-- MD2 SX3 MD2 SU1 S-- S-- S-- S-- S-- SU1 S-- S-- S-- #EH
SR1 SR1 SX1 SR1 SR1 SR1 SX1 SR1 SR1 SR1 SR1 SR1 SX1 SR1 SR1 SR1 SR1
#EH MD2 SU1 MD2 #EH MD2 SU1 MD2 S-- #EH S-- MD2 SU1 MD2 #EH MD2 #EH
#EH S-- SU1 S-- S-- S-- SU1 S-- S-- S-- S-- S-- SU1 S-- S-- S-- #EH
#EH PK3 SU1 PK3 PK3 PK3 SU1 PK3 PK3 S-- PK3 S-- SU1 S-- PK3 PK3 #EH
SR1 SR1 SX1 SR1 SR1 SR1 SX1 SR1 SR1 SR1 SR1 SR1 SX1 SR1 SR1 SR1 SR1
#EH MD2 SU1 PK3 PK3 PK3 SU1 PK3 PK3 PK3 PK3 PK3 SU1 PK3 PK3 PK3 #EH
#EH PK3 SU1 PK3 MD2 PK3 SU1 PK3 PK3 PK3 PK3 PK3 SU1 PK3 PK3 PK3 #EH
#EH PK3 SU1 PK3 PK3 MD2 SU1 PK3 PK3 PK3 PK3 PK3 SU1 PK3 MD2 PK3 #EH
SR1 SR1 SX1 SR1 SR1 SR1 SX1 SR1 SR1 SR1 SR1 SR1 SX1 SR1 SR1 SR1 SR1
#EH MD2 SU1 MD2 MD2 MD2 SU1 MD2 MD2 MD2 MD2 MD2 SU1 MD2 MD2 MD2 #EH
#EH PK3 SU1 MD2 MD2 MD2 SU1 MD2 MD2 MD2 MD2 MD2 SU1 MD2 MD2 MD2 #EH
#EH MD2 SU1 MD2 MD2 MD2 SU1 MD2 MD2 MD2 MD2 MD2 SU1 MD2 MD2 MD2 #EH
#EH #EH SU1 #EH #EH #EH SU1 #EH #EH #EH #EH #EH SU1 #EH #EH #EH #EH

FUEL DEPOT:1 1 8 30 false true 1 15 1 1000000
BLDG - BUISNESS:1 2 7 30 false true 1 35 0 495338
BLDG - BUISNESS:1 3 7 30 false true 1 35 0 495338
BLDG - BUISNESS:1 4 7 30 false true 1 35 0 495338
BLDG - BUISNESS:1 5 7 30 false true 1 35 0 495338
BLDG - BUISNESS:1 7 8 30 false true 1 35 1 793691
BLDG - BUISNESS:1 10 8 30 false true 1 35 2 373642
BLDG - BUISNESS:1 11 8 30 false true 1 35 2 373642
BLDG - BUISNESS:1 13 8 30 false true 1 35 0 592554
BLDG - BUISNESS:1 14 8 30 false true 1 35 2 373642
BLDG - BUISNESS:2 2 7 30 false true 1 35 0 495338
BLDG - BUISNESS:2 3 7 30 false true 1 35 0 495338
BLDG - BUISNESS:2 4 7 30 false true 1 35 0 495338
BLDG - BUISNESS:2 5 7 30 false true 1 35 0 495338
BLDG - BUISNESS:2 7 8 30 false true 1 35 3 514721
BLDG - WATER TOWER:2 9 8 30 false true 1 50 0 200000
BLDG - BUISNESS:2 10 8 30 false true 1 35 3 969512
BLDG - HIGHRISE:2 11 8 30 false true 1 50 1 4390395
BLDG - BUISNESS:2 13 8 30 false true 1 35 1 793691
BLDG - BUISNESS:2 14 8 30 false true 1 35 2 373642
BLDG - BUISNESS:3 2 8 30 false true 1 35 2 318565
BLDG - BUISNESS:3 4 8 30 false true 1 35 1 793691
BLDG - BUISNESS:3 7 8 30 false true 1 35 1 568825
BLDG - BUISNESS:3 8 8 30 false true 1 35 1 793691
BLDG - BUISNESS:3 9 8 30 false true 1 35 3 378549
BLDG - BUISNESS:3 10 8 30 false true 1 35 0 592554
BLDG - BUISNESS:3 11 8 30 false true 1 35 1 793691
BLDG - BUISNESS:3 13 8 30 false true 1 35 3 514721
BLDG - BUISNESS:3 14 8 30 false true 1 35 0 592554
BLDG - BUISNESS:3 15 8 30 false true 1 35 1 793691
FUEL - GAS STATION:4 10 8 30 false true 1 -1 0 680213
BLDG - HOUSES:5 1 8 30 true true 1 -1 1 682941
ELEC TOWER 0:5 4 6 10 false false 1 90 0 150000
ELEC TOWER 0:5 9 6 10 false false 1 90 0 150000
FUEL DEPOT:5 10 8 30 false true 1 15 0 1000000
ELEC TOWER 0:5 14 6 10 false false 1 90 0 150000
BLDG - HOUSES:6 1 8 30 true true 1 -1 1 682941
BLDG - HOUSES:6 3 8 30 true true 1 -1 1 682941
BLDG - HOUSES:6 4 8 30 true true 1 -1 1 682941
BLDG - HOUSES:6 5 8 30 true true 1 -1 1 682941
BLDG - HOUSES:6 7 8 30 true true 1 -1 1 682941
BLDG - HOUSES:6 8 8 30 true true 1 -1 1 682941
BLDG - HOUSES:6 9 8 30 true true 1 -1 1 682941
BLDG - HOUSES:6 10 8 30 true true 1 -1 1 682941
BLDG - HOUSES:6 11 8 30 true true 1 -1 1 682941
BLDG - HOUSES:6 13 8 30 true true 1 -1 1 682941
BLDG - HOUSES:6 14 8 30 true true 1 -1 1 682941
BLDG - HOUSES:6 15 8 30 true true 1 -1 1 682941
BLDG - HOUSES:7 1 8 30 true true 1 -1 1 682941
BLDG - HOUSES:7 3 8 30 true true 1 -1 1 682941
BLDG - HOUSES:7 4 8 30 true true 1 -1 1 682941
BLDG - HOUSES:7 5 8 30 true true 1 -1 1 682941
BLDG - HOUSES:7 7 8 30 true true 1 -1 1 682941
BLDG - HOUSES:7 8 8 30 true true 1 -1 1 682941
BLDG - HOUSES:7 9 8 30 true true 1 -1 1 682941
BLDG - HOUSES:7 10 8 30 true true 1 -1 1 682941
BLDG - HOUSES:7 11 8 30 true true 1 -1 1 682941
BLDG - HOUSES:7 13 8 30 true true 1 -1 1 682941
BLDG - HOUSES:7 14 8 30 true true 1 -1 1 682941
BLDG - HOUSES:7 15 8 30 true true 1 -1 1 682941
BLDG - HOUSES:8 3 8 30 true true 1 -1 0 530698
FUEL - GAS STATION:8 4 8 30 false true 1 -1 1 665736
BLDG - HOUSES:8 5 8 30 true true 1 -1 1 682941
BLDG - HOUSES:8 7 8 30 true true 1 -1 1 682941
BLDG - HOUSES:8 8 8 30 true true 1 -1 1 682941
